link,price,street,property_type,neighborhood,city,floor,rooms,area_sqm,price_per_sqrm,full_address,Lat,Long,Distance_To_Hub_Meters
https://www.yad2.co.il/realestate/item/kznq2lkt?opened-from=feed&component-type=main_feed&spot=standard&location=15,3550000.0,אדמונד סחייק 11,דירה,מלחה,ירושלים,3.0,4.0,140.0,25357.14285714286,"אדמונד סחייק 11, מלחה, ירושלים",31.7498192,35.1850798,724.6449523789585
https://www.yad2.co.il/realestate/item/djav017s?opened-from=feed&component-type=main_feed&spot=standard&location=40,2650000.0,הדולב,דירת גן,גילה,ירושלים,0.0,4.0,84.0,31547.61904761905,"הדולב, גילה, ירושלים",31.732852,35.1881227,2632.2302568275895
https://www.yad2.co.il/realestate/item/pulcyith?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=2,2100000.0,לבונה 7,דירה,גילה,ירושלים,3.0,3.0,65.0,32307.69230769231,"לבונה 7, גילה, ירושלים",31.7343021,35.1966867,2690.056542786235
https://www.yad2.co.il/realestate/item/wmkfxetk?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=2,6400000.0,הרב עוזיאל,דירה,בית וגן,ירושלים,0.0,6.0,160.0,40000.0,"הרב עוזיאל, בית וגן, ירושלים",31.7670357,35.1856804,150.67035767665476
https://www.yad2.co.il/realestate/item/ezgvz8z5?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=2,3950000.0,הבנאי,דירה,בית הכרם,ירושלים,3.0,4.0,109.0,36238.53211009174,"הבנאי, בית הכרם, ירושלים",31.776293,35.1920992,759.5749657408854
https://www.yad2.co.il/realestate/item/cwoc0d0s?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=3,3800000.0,דוד צבי פנקס 3,דירה,גבעת מרדכי,ירושלים,6.0,4.0,117.0,32478.63247863248,"דוד צבי פנקס 3, גבעת מרדכי, ירושלים",31.7615353,35.1990474,1236.8312898363217
https://www.yad2.co.il/realestate/item/vdvbomup?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=3,3550000.0,אליעזר הלוי,דירה,קרית משה,ירושלים,2.0,5.0,103.0,34466.01941747573,"אליעזר הלוי, קרית משה, ירושלים",31.7869773,35.1937597,187.07971074543184
https://www.yad2.co.il/realestate/item/ceavj7u8?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=3,4095000.0,הארזים 5,דירה,בית הכרם,ירושלים,5.0,4.0,117.0,35000.0,"הארזים 5, בית הכרם, ירושלים",31.7804218,35.1869626,593.6189594758199
https://www.yad2.co.il/realestate/item/2dsao6n7?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=4,4750000.0,הנמר 21,דירה,מלחה,ירושלים,1.0,5.0,140.0,33928.57142857143,"הנמר 21, מלחה, ירושלים",31.7525305,35.1810104,492.76366011121877
https://www.yad2.co.il/realestate/item/69tpr03a?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=4,2820000.0,עמנואל זיסמן,דירה,חומת שמואל,ירושלים,2.0,5.0,115.0,24521.739130434784,"עמנואל זיסמן, חומת שמואל, ירושלים",31.71969,35.2306867,1771.7156643048427
https://www.yad2.co.il/realestate/item/9cpb8mwg?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=4,2550000.0,אלי תבין 23,דופלקס,ירושלים,ירושלים,0.0,5.0,125.0,20400.0,"אלי תבין 23, ירושלים, ירושלים",31.8167937,35.2418049,1165.9440402727898
https://www.yad2.co.il/realestate/item/pyu6ane2?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=5,3800000.0,"החי""ל 13",דירה,הגבעה הצרפתית,ירושלים,1.0,4.0,115.0,33043.47826086957,"החי""ל 13, הגבעה הצרפתית, ירושלים",31.8006238,35.2416169,404.92709582293156
https://www.yad2.co.il/realestate/item/mbyzf3y6?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=6,2310000.0,אבשלום חביב 6,דירה,ארמון הנציב,ירושלים,5.0,4.0,108.0,21388.88888888889,"אבשלום חביב 6, ארמון הנציב, ירושלים",31.7516146,35.2373669,1295.67217357312
https://www.yad2.co.il/realestate/item/k0pznlfp?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=6,3500000.0,תירוש,דירת גן,גילה,ירושלים,1.0,5.0,187.0,18716.57754010695,"תירוש, גילה, ירושלים",31.7352056,35.1808988,2369.3127559943164
https://www.yad2.co.il/realestate/item/uyk5meka?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=7,3000000.0,דב הוז 15,דירה,קטמונים,ירושלים,2.0,3.0,42.0,71428.57142857143,"דב הוז 15, קטמונים, ירושלים",31.7559905,35.194391,793.4660199680225
https://www.yad2.co.il/realestate/item/kxgqcqoc?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=7,3290000.0,דרך בית לחם,דירת גן,בקעה,ירושלים,0.0,3.0,110.0,29909.090909090908,"דרך בית לחם, בקעה, ירושלים",31.754006,35.219614,400.2022581929526
https://www.yad2.co.il/realestate/item/wu6i7v93?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=7,2890000.0,אבנר חי שאקי,דירה,גילה,ירושלים,1.0,4.0,110.0,26272.727272727272,"אבנר חי שאקי, גילה, ירושלים",31.7375578,35.1759425,2223.8709373805796
https://www.yad2.co.il/realestate/item/d0qivuir?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=7,2490000.0,משה גבירצמן,גג/ פנטהאוז,פסגת זאב,ירושלים,2.0,5.0,110.0,22636.363636363636,"משה גבירצמן, פסגת זאב, ירושלים",31.8216197,35.2520244,840.1345005420914
https://www.yad2.co.il/realestate/item/kz0ca48m?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=8,1890000.0,המרגלית 13,דירה,גילה,ירושלים,3.0,3.0,70.0,27000.0,"המרגלית 13, גילה, ירושלים",31.7308555,35.1834802,2831.4365262464694
https://www.yad2.co.il/realestate/item/c934kpow?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=9,2750000.0,רבי בנימין,דירה,בית הכרם,ירושלים,2.0,3.0,87.0,31609.19540229885,"רבי בנימין, בית הכרם, ירושלים",31.7817685,35.1943096,339.2252664286286
https://www.yad2.co.il/realestate/item/lczjo106?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=9,2380000.0,גדוד חרמש,דירה,פסגת זאב,ירושלים,2.0,4.0,85.0,28000.0,"גדוד חרמש, פסגת זאב, ירושלים",31.8301101,35.2417775,265.11589960287614
