link,price,street,property_type,neighborhood,city,floor,rooms,area_sqm,price_per_sqrm
https://www.yad2.co.il/realestate/item/kznq2lkt?opened-from=feed&component-type=main_feed&spot=standard&location=15,3550000.0,אדמונד סחייק 11,דירה,מלחה,ירושלים,3.0,4.0,140.0,25357.14285714286
https://www.yad2.co.il/realestate/item/djav017s?opened-from=feed&component-type=main_feed&spot=standard&location=40,2650000.0,הדולב,דירת גן,גילה,ירושלים,0.0,4.0,84.0,31547.61904761905
https://www.yad2.co.il/realestate/item/pulcyith?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=2,2100000.0,לבונה 7,דירה,גילה,ירושלים,3.0,3.0,65.0,32307.69230769231
https://www.yad2.co.il/realestate/item/wmkfxetk?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=2,6400000.0,הרב עוזיאל,דירה,בית וגן,ירושלים,0.0,6.0,160.0,40000.0
https://www.yad2.co.il/realestate/item/ezgvz8z5?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=2,3950000.0,הבנאי,דירה,בית הכרם,ירושלים,3.0,4.0,109.0,36238.53211009174
https://www.yad2.co.il/realestate/item/cwoc0d0s?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=3,3800000.0,דוד צבי פנקס 3,דירה,גבעת מרדכי,ירושלים,6.0,4.0,117.0,32478.63247863248
https://www.yad2.co.il/realestate/item/vdvbomup?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=3,3550000.0,אליעזר הלוי,דירה,קרית משה,ירושלים,2.0,5.0,103.0,34466.01941747573
https://www.yad2.co.il/realestate/item/ceavj7u8?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=3,4095000.0,הארזים 5,דירה,בית הכרם,ירושלים,5.0,4.0,117.0,35000.0
https://www.yad2.co.il/realestate/item/ff3dlhle?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=3,4350000.0,חנוך אלבק,דירה,צפון תלפיות,ירושלים,5.0,4.0,105.0,41428.57142857143
https://www.yad2.co.il/realestate/item/vzjxf8no?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=3,4700000.0,דרך עזה,דירה,רחביה,ירושלים,1.0,4.0,90.0,52222.22222222222
https://www.yad2.co.il/realestate/item/2dsao6n7?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=4,4750000.0,הנמר 21,דירה,מלחה,ירושלים,1.0,5.0,140.0,33928.57142857143
https://www.yad2.co.il/realestate/item/69tpr03a?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=4,2820000.0,עמנואל זיסמן,דירה,חומת שמואל,ירושלים,2.0,5.0,115.0,24521.739130434784
https://www.yad2.co.il/realestate/item/v9unw7k0?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=4,2100000.0,פרופסור יעקב נאמן,דירת גן,מורדות ארנונה,ירושלים,0.0,2.0,47.0,44680.85106382979
https://www.yad2.co.il/realestate/item/f1an9zt3?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=4,3150000.0,דרך בית לחם,דירה,תלפיות תעשיה ומסחר,ירושלים,3.0,3.0,85.0,37058.82352941176
https://www.yad2.co.il/realestate/item/9cpb8mwg?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=4,2550000.0,אלי תבין 23,דופלקס,ירושלים,ירושלים,0.0,5.0,125.0,20400.0
https://www.yad2.co.il/realestate/item/pyu6ane2?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=5,3800000.0,"החי""ל 13",דירה,הגבעה הצרפתית,ירושלים,1.0,4.0,115.0,33043.47826086957
https://www.yad2.co.il/realestate/item/fn09gtl5?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=5,4480000.0,פרץ ברנשטיין 24,בית פרטי/ קוטג',רמת שרת,ירושלים,0.0,6.0,150.0,29866.666666666668
https://www.yad2.co.il/realestate/item/mbyzf3y6?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=6,2310000.0,אבשלום חביב 6,דירה,ארמון הנציב,ירושלים,5.0,4.0,108.0,21388.88888888889
https://www.yad2.co.il/realestate/item/k0pznlfp?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=6,3500000.0,תירוש,דירת גן,גילה,ירושלים,1.0,5.0,187.0,18716.57754010695
https://www.yad2.co.il/realestate/item/uyk5meka?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=7,3000000.0,דב הוז 15,דירה,קטמונים,ירושלים,2.0,3.0,42.0,71428.57142857143
https://www.yad2.co.il/realestate/item/kxgqcqoc?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=7,3290000.0,דרך בית לחם,דירת גן,בקעה,ירושלים,0.0,3.0,110.0,29909.090909090908
https://www.yad2.co.il/realestate/item/wu6i7v93?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=7,2890000.0,אבנר חי שאקי,דירה,גילה,ירושלים,1.0,4.0,110.0,26272.727272727272
https://www.yad2.co.il/realestate/item/d0qivuir?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=7,2490000.0,משה גבירצמן,גג/ פנטהאוז,פסגת זאב,ירושלים,2.0,5.0,110.0,22636.363636363636
https://www.yad2.co.il/realestate/item/kz0ca48m?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=8,1890000.0,המרגלית 13,דירה,גילה,ירושלים,3.0,3.0,70.0,27000.0
https://www.yad2.co.il/realestate/item/c934kpow?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=9,2750000.0,רבי בנימין,דירה,בית הכרם,ירושלים,2.0,3.0,87.0,31609.19540229885
https://www.yad2.co.il/realestate/item/lczjo106?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=9,2380000.0,גדוד חרמש,דירה,פסגת זאב,ירושלים,2.0,4.0,85.0,28000.0
https://www.yad2.co.il/realestate/item/1hyt8in7?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=9,4690000.0,הבנאי,דירת גן,בית הכרם,ירושלים,0.0,5.0,115.0,40782.608695652176
https://www.yad2.co.il/realestate/item/9jz8xorj?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=10,3690000.0,בית הכרם 22,דירה,בית הכרם,ירושלים,1.0,4.0,104.0,35480.769230769234
https://www.yad2.co.il/realestate/item/ru251npd?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=10,4250000.0,יצחק רפאל 14,גג/ פנטהאוז,חומת שמואל,ירושלים,5.0,5.0,128.0,33203.125
https://www.yad2.co.il/realestate/item/2h36e1xb?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=10,6500000.0,חנה בבלי,כללי,פסגת זאב,ירושלים,0.0,7.0,250.0,26000.0
https://www.yad2.co.il/realestate/item/mp3xa1sv?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=11,5400000.0,יעקב שריבוים 12,גג/ פנטהאוז,בית הכרם,ירושלים,3.0,5.0,130.0,41538.46153846154
https://www.yad2.co.il/realestate/item/w0s8ah7v?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=11,3680000.0,אנג'לו לוי ביאנקיני 1,דירה,מרכז העיר,ירושלים,4.0,3.0,84.0,43809.52380952381
https://www.yad2.co.il/realestate/item/b2r629js?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=11,12500000.0,"עמק רפאים, המושבה הגרמנית",גג/ פנטהאוז,עמק רפאים,ירושלים,2.0,6.0,200.0,62500.0
https://www.yad2.co.il/realestate/item/cv3d07dv?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=11,2950000.0,ברל לוקר,דירה,פת,ירושלים,1.0,4.0,96.0,30729.166666666668
https://www.yad2.co.il/realestate/item/03ji8o9c?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=11,2780000.0,דן פגיס,דירת גן,פסגת זאב,ירושלים,1.0,4.0,95.0,29263.157894736843
https://www.yad2.co.il/realestate/item/3mnzl9mf?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=12,2600000.0,יפו 61,דירה,מרכז העיר,ירושלים,3.0,2.0,46.0,56521.739130434784
https://www.yad2.co.il/realestate/item/qlbgkrre?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=12,5350000.0,החלוץ 58,דירה,בית הכרם,ירושלים,3.0,4.0,115.0,46521.739130434784
https://www.yad2.co.il/realestate/item/p9o5hsp3?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=13,4800000.0,קורא הדורות 10,דירה,תלפיות,ירושלים,1.0,3.0,68.0,70588.23529411765
https://www.yad2.co.il/realestate/item/yoi0j31k?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=14,2350000.0,משה רחמילביץ' 120,דירת גן,פסגת זאב,ירושלים,1.0,3.0,210.0,11190.47619047619
https://www.yad2.co.il/realestate/item/yo8mcz7u?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=14,2000000.0,אדם 1,דירה,ארמון הנציב,ירושלים,1.0,3.0,67.0,29850.746268656716
https://www.yad2.co.il/realestate/item/smp82d79?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=14,4550000.0,מאיר פיינשטיין,בית פרטי/ קוטג',ארמון הנציב,ירושלים,0.0,6.0,242.0,18801.652892561982
https://www.yad2.co.il/realestate/item/bwll68or?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=14,2350000.0,אלמוג,דירה,גילה,ירושלים,1.0,4.0,88.0,26704.545454545456
https://www.yad2.co.il/realestate/item/43ermwmx?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=15,3700000.0,"רמב""ן 59",דירה,רחביה,ירושלים,4.0,2.0,68.0,54411.76470588235
https://www.yad2.co.il/realestate/item/2994dt0h?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=15,3080000.0,מעגלי יבנה,דירה,קטמונים,ירושלים,3.0,3.0,103.0,29902.912621359224
https://www.yad2.co.il/realestate/item/6feltdez?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=15,2870000.0,אלעזר מנחם גלרנטר,דירת גן,חומת שמואל,ירושלים,4.0,4.0,94.0,30531.91489361702
https://www.yad2.co.il/realestate/item/z9552xkj?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=16,3480000.0,מזל גדי 9,דירה,פסגת זאב,ירושלים,8.0,5.0,150.0,23200.0
https://www.yad2.co.il/realestate/item/lxf309vp?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=16,4800000.0,אריה דולצ'ין 53,גג/ פנטהאוז,גבעת משואה,ירושלים,4.0,5.0,124.0,38709.67741935484
https://www.yad2.co.il/realestate/item/zfjhh9la?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=16,4350000.0,משה קול,גג/ פנטהאוז,בית הכרם,ירושלים,3.0,4.0,112.0,38839.28571428572
